NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.4,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.4,
Experiment Name,sample2bloom 2024-07-11 11-42-28.nano,
Operator Name,kasson,
Time Captured,11:42:28  11/07/2024,
Sample Description,bloom-heat2,
Pre-treatment,,
Diluent,9x,
Remarks,,
,,
,,,,,
Filename:,sample2bloom 2024-07-11 11-42-49,sample2bloom 2024-07-11 11-44-00,sample2bloom 2024-07-11 11-45-12,sample2bloom 2024-07-11 11-46-24,sample2bloom 2024-07-11 11-47-35,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,20.527,20.578,20.568,20.589,20.609,
Viscosity/cP,0.987247,0.986026,0.986265,0.985763,0.985286,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,14,14,14,15,15,
Slider Shutter,1259,1259,1259,1206,1206,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.480000,31.480000,31.480000,30.150000,30.150000,
Camera Histogram Upper Limit,6588,6588,6588,3294,3294,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.0000,12.0000,12.0000,12.0000,10.2016,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
268.5,0,163644,0,117146,72,56172,35161,
269.5,0,167817,0,109332,65,55443,35176,
270.5,0,170610,0,102565,59,54647,35140,
271.5,0,171948,0,96742,53,53749,34986,
272.5,0,171796,0,91773,48,52723,34668,
273.5,0,170157,0,87580,44,51556,34157,
274.5,0,167075,0,84099,40,50243,33440,
275.5,0,162631,0,81274,36,48788,32521,
276.5,0,156939,0,79062,33,47207,31415,
277.5,0,150143,0,77427,30,45520,30148,
278.5,0,142409,0,76343,28,43756,28754,
279.5,0,133919,0,75795,25,41948,27277,
280.5,0,124863,0,75774,23,40132,25768,
281.5,0,115433,0,76279,21,38347,24281,
282.5,0,105817,0,77321,20,36631,22876,
283.5,0,96188,0,78916,18,35024,21618,
284.5,0,86708,0,81091,17,33563,20569,
285.5,0,77515,0,83882,16,32283,19791,
286.5,0,68728,0,87335,15,31216,19338,
287.5,0,60440,0,91507,14,30392,19246,
288.5,0,52722,0,96468,13,29840,19536,
289.5,0,45621,0,102297,12,29586,20211,
290.5,0,39162,0,109092,11,29653,21258,
291.5,0,33353,0,116963,10,30065,22664,
292.5,0,28185,0,126036,10,30846,24415,
293.5,0,23634,0,136458,9,32020,26507,
294.5,0,19666,0,148390,9,33613,28946,
295.5,0,16241,0,162018,8,35654,31747,
296.5,0,13313,0,177547,8,38174,34939,
297.5,0,10832,0,195203,7,41209,38556,
298.5,0,8750,0,215236,7,44799,42643,
299.5,0,7017,0,237915,6,48988,47251,
300.5,0,5588,0,263531,6,53825,52438,
301.5,0,4419,0,292391,6,59363,58263,
302.5,0,3471,0,324818,6,65659,64793,
303.5,0,2708,0,361142,5,72771,72095,
304.5,0,2098,0,401698,5,80760,80235,
305.5,0,1616,0,446812,5,89686,89282,
306.5,0,1236,0,496794,5,99607,99297,
307.5,0,940,0,551926,4,110574,110338,
308.5,0,710,0,612443,4,122632,122453,
309.5,0,534,0,678523,4,135812,135678,
310.5,0,399,0,750263,4,150133,150032,
311.5,0,296,0,827664,4,165593,165518,
312.5,0,219,0,910613,4,182167,182111,
313.5,0,161,0,998860,3,199805,199764,
314.5,0,117,0,1092006,3,218425,218395,
315.5,0,85,0,1189490,3,237916,237894,
316.5,0,62,0,1290576,3,258128,258112,
317.5,0,45,0,1394352,3,278880,278868,
318.5,0,32,0,1499732,3,299953,299945,
319.5,0,23,0,1605465,3,321098,321092,
320.5,0,16,0,1710156,3,342035,342030,
321.5,0,12,0,1812290,3,362461,362457,
322.5,0,8,0,1910265,2,382055,382053,
323.5,0,6,0,2002438,2,400489,400487,
324.5,0,4,0,2087168,2,417435,417433,
325.5,0,3,0,2162868,2,432575,432573,
326.5,0,2,0,2228057,2,445612,445611,
327.5,0,1,0,2281415,2,456284,456283,
328.5,0,0,0,2321825,2,464366,464365,
329.5,0,0,0,2348419,2,469684,469684,
330.5,0,0,0,2360612,2,472123,472122,
331.5,0,0,0,2358121,2,471625,471624,
332.5,0,0,0,2340978,2,468196,468195,
333.5,0,0,0,2309527,2,461906,461905,
334.5,0,0,0,2264416,2,452883,452883,
335.5,0,0,0,2206562,2,441313,441312,
336.5,0,0,0,2137126,2,427426,427425,
337.5,0,0,0,2057464,1,411493,411493,
338.5,0,0,0,1969080,1,393816,393816,
339.5,0,0,0,1873573,1,374715,374715,
340.5,0,0,0,1772591,1,354518,354518,
